INDEX,TARGET,FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,LabelAppeal,AcidIndex,STARS
4101,3,8.1,1.11,.77,34.7,.036,-111,219,1.0003,5.01,-1.29,5.6,0,8,3
4102,4,6.5,.27,1.77,6.6,-.387,95,-150,.95869,2.7,-.08,10.1,0,7,2
4103,4,6.4,.5,-.62, ,.269,19,346,.98426,3.18,.4,3.6,0,7,3
4104,0,5.4,.22,.4,1.85,-.506,25,415,.95184,3.03,-2.35,13.1,1,7, 
4106,4,12.2,-.83,2.13,-23.2,.036,-87,349,.98522,3.13,2.17,10.8,0,9,3
4107,5,8.7,1.39,.04,.6,.042,-169,-305,.9926,3.08, ,10.6,2,9,4
4108,4,1.1,.93,-.07,1.7,-.003,53,-663,.99207,3.13,1.31,18.5,0,7,1
4109,5,4.1,.69,2.1,-38.7,.219,18,425,.97167,3.76,.36,-1.7,1,7,2
4110,4,7,.29,.54,39.5,.046,-182,492,.9966,2.21,-.02,9.5,1,8,2
4111,0,18.5,.34,1.4,2.8,-.315,157,44,.95433,2.21,.56,12,-1,7, 
4112,3,16.3,-1,.24,72.6,-.175,152,470,1.00236,3.34,-.64,11.6,0,6,2
4113,0,4.5,.22,.33,-74.6,.041,-28,314,1.0407,3.32,.56,8.8,2,7,1
4114,2,14.1,.43,.42,-9.1,.035,18,86,.9908,3,.39,6.1,-1,8,1
4115,3,26.6,.57,-.12,-37.1,-.074, ,195,1.01407,3.15,.51,10.4,0,9, 
4116,3,7,-.54,.39,6.2,-.078,297,89,.9928,3.21,.35,12.2,-2,8,1
4117,3,7.1,.18,1.53,-3.9,-.241,48,552,1.01601,3.35,.78,9.1,0,8,2
4118,4,7,-1.03,.24,1.8,-.07,-70,91,.94236,3.13,-.22,20.3,0,7,3
4119,5,9.4,-1.11,-2.57,6.2,-.264,47,522,1.06762,3.22,.56,11,1,7,4
4120,2,2,.27,.28,26.45,-1.08,3,366,1.02343,4.05,.3,9.8,0,8,2
4121,5,16.7,.15,.68,1.6, ,35,-24,.9948,3.02,.45,10.4,1,10,1
4122,0,6.8,.51,.01,2.1,.074,-244,25,.9958,4.45,.56,12.4,-1,7, 
4123,0,6.7,.24,.3,55.1,.53,-154,179,.99666,3.53,.28,8.9,-1,7,2
4124,0,8.7,-.395,.22,2.3,.556,9,42,.96307,2.47,.55,13.6,-1,10, 
4126,6,6.6,-.21,.27,51.3,.321,-63,283,.99672,3.08, ,9.2,2,7,2
4127,3,7.2,.29,.2,7.7,.046,51,174,.99582,3.84,.52,6.8,0,8,1
4128,3,6.9,.19,-1.1,13.5,.189,49,-231,.99546,3.35,.63,6.4,-1,7,1
4129,0,7,.27,.39,1.8,.048,25,-300,1.01417,3.11,1.2,7.9,0,8, 
4130,0,15.6,.44,-.93,-25.1,.047,-17,-30,.96374,4.12,.46,8.8,0,7, 
4131,3,6.4,.49,-.74,-18.3,.486,40,58,.99111,3.21,-.65,11.1,-1,7, 
4132,6,6.6,-.17,.22,51.5, ,70,195,.99018,3.25,.53,13,1,7,3
4133,3,13,-.05,.16,50.9,.265,49, ,.9911,3.06,.37,11.6,-1,8,1
4135,4,7.8,.3,.29,7.45,.054,208,135,1.02541,3.16,.38,-4,0,8,3
4136,4,6,.3,-1.03,-17.7,-.13,24,127,1.03871,3.32,-.58,8.6,0,7,1
4137,6,5.9,.1,-.06,6,.039,166,-319,.99511,2.69,.55,10.5,1,7,2
4138,3,1.8,-.39,.69,1.2,.131,36,-257,.96984,2.96,.49,9.2,-1,8,2
4140,3,4.9,.23,.25,-40.1, ,-249,139,.99695,3.03,.26,5.3,-1,7,2
4141,5,8.1,.36,.59,13.6,.051,-200,134,.99886,2.96,-.11,8.7,2,9,1
4142,4,8.3,.16,1.74,-40.1,.045,129,-303,.9958,3.21,2.58, ,1,7,1
4143,5,7.1,1.07,-.6,-11.8,-.96,44.5,-77,.98428,3.81,1.49,10.2,1,8,4
4144,5,6.7,-.94,.41,-5.6,-.332,-110,444,.92164,3.16,.47,16.4,1,7, 
4145,4,-2.6,.58,.27,12.15,.033,37,-276,.94709,2.99,-1.53,8.4,0,9,2
4147,0,8,.77,.75,2.1,.668,-2,74,.99047,3.27,.5,10.9,0,9, 
4148,4,-3.8,.68,.47,1.4,.037,32,211,.99022,3.29,3.81,12,0,7,2
4150,3,6.3,.27,.46,31,-.253,322,177,.98444,3.25,.67,9.4,0,7,1
4152,3,9.4,-1.06,1.63,-61.3,.079,9,419,.9976,3.47,.94,12,-1,10,2
4153,4,5.2,.21,1.92,1.2,.03,27, ,.99192,3.19,-1.09,10.5,1,8,1
4154,4,6.1,.27,.3,8.2,.189,-20,421,1.04335,3.16,1.68,4.4,0,7,2
4156,3,14.9,.6,2.06,14.4,-1.1,5,60,1.00872,4.19,2.12,7.3,0,14,1
4158,0,17,-.73,1.68,-31.1,-.508,125,233,1.01307,4.5,.66,12.8,1,11, 
4159,6,-1.5,-.3,1.14,9.6,.385,19,173,.99444,3.9, ,9.5,1,8,3
4160,0,11.3,.46,.2, ,.077,100,54,1.02966,3.11,.64,8.5,1,8, 
4161,0,7.2,.24,1.29,1.9,.032,30,92,1.03568,3.1,.39,15.2,1,8, 
4162,5,10.5,1.49,.31,-1.2,.036,45,145,.99216,2.98,-.69,15.2,0,8,2
4163,3,5.3,.605,.85,1.1,.051,25,305,.9741, ,.47,9.1,0,6, 
4164,5,-.9,.23,-.88,-49.8,.777,97,320,1.04323,1.43,.81,10.1,0,7,3
4165,5,1.7,.27,.19,1.7,-.183,295,110,.9898,2.3,.47,12.6,0,6,1
4166,4,-2.4,-.13,.66,17.2,.037,142,170,1.02611,3.26,-.56,9.4,0,7, 
4167,6,6.5,.44,.51,1.5,-.102,275,-584,.94909,4.48, ,15.2,2,7,2
4169,2,-1.7,.755,.5,-109.6,.084,114,12,1.01938, ,1.73,-3,0,8,2
4171,0,15.5,-1.02,-.55,2.1,.049,-202,136,.9922,3.52,.46,11.6,0,8, 
4172,4,-2.6,2.98,.43,4.5,.062,286, ,1.03504,4.26,2.01,9.9,0,8,1
4173,6,-.5,-1.26,.11,5.2,.442, , ,.9942,3.41,-.9,9.8,1,7,2
4175,3,8.5,-.08,1.48,15.8,.827,243,188,1.04726, ,1.53,9.7,-1,8,2
4176,0,12.5,1.27,.74,2,.071,183,-109,1.02616,3.5,-.31,12,0,14, 
4177,3,5.8,-.875,.13,3.1,.212, , ,1.02053,4.18,1.72,.800000000000001,0,6, 
4178,0,-2.1,.27,-.96,8.1,.043,236,228,1.00113,3.96,.17,10.4,1,10,1
4180,5,6.2,.355,1.09,-39.3, ,-24, ,1.00433,3.06,.46,12.5,1,7,3
4181,0,6.9,.29,.82,-50.9,.419,8,-195,.99603,2.14,.6,10.5,0,9, 
4182,4,-4.2,.32,1.46,-87.8,.114,-278,146,.9934,2.2,.79,5.1,0,7,2
4183,4,7.2,1.33,-1.68,10.4,-.263,-164,114,1.02763,4.06,1.84,10.5,1,8,3
4184,0,3.9,-.09,.29,-49.4,.509,19,133,1.0039,2.93,.29,9.8,0,9, 
4186,3,-2.4,.74,1.69,29.1,.05,26,424,.92119,3.05,.53,13.1,-1,8,2
4187,3,7.3,1.67,.22,-10.7, ,43,-389,.99286,3.14,-.44,9.9,0,8,2
4188,4,3.3,1.15,.26,31.7,.372,23,90,.9944,3.13,.75,10.6,1,8,1
4189,5,16.4,-.94,-.38,1.2,-.252,28,101,.99035,2.16,.43,14.4,1,9,2
4190,0,16.9,.55,1.22,2.2,.367,-258,28,.95464,4.09, ,7.6,0,8, 
4191,0,9,1.82,.43,-35.9,-.41,183,359,1.02324,3.2,-.34,12.2,0,10, 
4192,0,-15.2,1.61,.74,-55.3,-.147,17,96,.9962,3.05,1.51,4.7,-1,9,1
4193,5,5.6,.2,.68,72.2,-.289,56, ,1.04208,3.05,.22,8.2,2,8,3
4194,3,6.8,.19,.71,25.9,-.274,21,114,.9748,2.85,.5,14.8,-1,8, 
4195,2,18.9,1.69,-.51,39.5,.406,22,356,.9982,2.05,2.11,5.8,-1,9, 
4196,2,7,-.68,.24,75.7,.056,68,530,1.03853,5.04, ,9.5,-1,8,1
4197,3,26.4,.26,-1.25,62.4,-.088,69,-213,.9967,3.17,-.31, ,-1,7,1
4198,4,6.3,.22,.28,3.2,-.43,38,102,.99181,3.14,.37,11.1,-1,7,1
4200,2,-1.4,.18,.37, ,-.205,-235,426,.96997,5.15,-.94,10.8,-1,8,3
4201,3,6.5,.85,.35,5.7,.043,47,197,.99392,3.24,-1.2,5.9,-1,7,3
4202,4,5.4,.18,.24,-.100000000000001,.041,30,-58,.9969,2.66,-.28,9.4,0,6,2
4203,3,6.9,.34,.58,1.4,.285,-447,145,1.01441,3.45,.52,13.7,0,8,2
4204,4,7.4,.6,-1.27,2.1,.659,17,91,.99297,2.76,1.97,9.8,0,8,3
4206,6,18.5,.2,.54,5.7,.035,143,-139,.99923,5.34,.46,6.9,2,8, 
4207,4,10,.53,.26,9.9,.532,275,181,.9955,2.91,1.01,10.6,0,8,1
4209,2,10.2,.93,.45,8.6,-.191,131,187,1.02236,2.72,.59,10.2,0,11,1
4210,2,8.3,-.55,.01,7.8,.522,32,139,.92862,4.41,.88,16.6,-2,9, 
4213,0,6.9,.61,.24,19.1,-.523,289,214,.9961,3.13,2,11.1,0,7, 
4214,0,8.9,.62,.05,-19.5,-.513,11,-244,.96903,2.81,.66,-.199999999999999,2,9, 
4216,5,19.2,-.94,.27,2.6,.035,39,120,.94996,3.32,-.22,9,0,8,3
4218,4,7.3,.23,.34,9.3,.567,19,410,.95948,3.04,.56,10,1,8,2
4220,0,3.9,.03,1.15,-38.5,-.421,-136,79,1.00356,5.76,-.21,7.5,0,8,1
4221,2,-.5,.935,.32,12.4,-.323,-129,-163,.998,2.76,.45, ,-2,7, 
4222,4,5.9,1.87,.27,9,.051,43,182,1.03247,3.25,.53,7.8,0,6,2
4223,3,8,-1.33,.82,2.3,.225,10,281,1.01587,2.2,.52,12.1,0,9,3
4224,0,6.6,.36,3.07,-12.2,-.208,-26,265,.9633,4.38, ,12.8,-1,7, 
4225,3,9.5,1.55,.42,13.7,-.313,222,213,1.02669,3.9,2.16,9.2,0,8,3
4228,4,.8,-1.21,.42, ,.175,57,182,.96142,3.29,1.92,2.4,-1,8,3
4230,4,6.3,-.08,.41,-16.2,.046,52,51,.99537,3.12,2.2,5,1,8,1
4232,2,17.5,.39,.23,7,.033,29,126,.98573,2.8,-.04,10.5,-1,8,1
4234,3,13.5,.4,.35, ,-.059,17,280,1.01196,3.18,.42,12.4,-1,6,2
4235,0,14.7,.49,0,-96.6,.035,16,310,.9972,3.72, ,16,0,8, 
4236,4,2.9,.27,.09,19.7,.044,-12, ,.96076,4.07,.48,9.5,1,7,2
4238,5,6.9,.23,.36,-48.3,.03,176,121,.98051,2.14,.99,18,0,6,2
4239,0,15.6,.62,.12,1.8,-.098,38,46,.99504,3.31,.89,11.8,0,9,1
4240,2,16.6,.17,.81,37.1,.04, ,148,1.02657, ,.67,15.6,-2,9, 
4241,0,8.2,.6,.27,2,-.371,30,245,.95089, ,.62, ,1,9, 
4242,4,7.6,-1.01,-.71,-44.7,.422,-122,57,.9966,3.07,-.89,9.8,1,8,1
4244,4,-1.4,-.79,.36,10,.313,33,169,.9982,3.43,1.28,11.8,0,9,2
4245,4,6.9,.97,.34, ,.405,27,82,1.01046,2.74,.09,8,0,7,1
4246,3,15.1,.43,.23,1.1,.054,5,110,.9939,2.81,1.66,15,1,7,1
4247,6,5.8,1.72,-1.2,33.1,.049,75,-67,.97343,2.51,1.62,19,1,6,4
4249,1,-4.2,.27,.4,-4.4,.014,15,-241,1.02059,2.28,.65,12,-1,8, 
4250,4,-2.8,.14,-.85,-86.5,.041,22,401,.96771,2.68,.54,6.3,0,7,1
4251,4,-2.7,.18,.51,-35.4,.568, ,-283,.995,4.56,1.53, ,0,8,1
4252,5,8.4,.25,-.41,20.5,.052,25,466,.99782,3.61,.45,9.2,1,7,4
4253,4,5.6,.485,.16,12.55,.051,193,115,1.01853,4.15,.38,12,0,6,3
4254,0,19.3,.145,.42,49.4,.092,8,86,.9959, ,1.03,6.8,1,9,2
4256,4,10.6,.29,1.01,6.2,.467,182,6,.9971,3.38,-1.02,15.8,0,8,1
4257,4,6.2,.31,.26,4.8,.843,-64,148,.9928,3.21,.65,12.3,0,7,2
4258,4,-4.2,-.29,.19,62.9,.601,51,131,.99184,3.66,.39,3.8,1,7,2
4259,4,.9,.29,.24,-55.4,.3,41,95,.95082,2.9,1.02,13.8,-1,7,2
4260,0,5.2,-.44,-1.14,2.5,.077,6,14,.97069,2.71,.18,11,1,7,2
4261,6,6.9,.3,.72,17.7,-.552,26,119,.9925,3.25,.81,6.1,0,8,4
4263,5,6.9,.54,-.57,7,.063,50, ,.9957,3.87,.5,10.4,1,8,3
4264,2,22.6,.85,1,-43.6,.022,53,-237,.98101,3.21,.34,11,-1,7,1
4265,4,16.6,.34,-1.39,46.4,.082,221,87,1.04544,4.34,.48,5.6,1,7, 
4267,3,4.9,.34,-.5,-3,.022,-208,151,.97151,4.18,.49,8.6,0,9,1
4269,0,9,.11,.32,2.8,.084,21,410,.9984,3.32,2.38, ,0,10, 
4271,5,24.6,-.2,1.98,7.8,-.525,-259, ,.98981,3.25,.45,11.6,0,6,2
4272,7,7.6,.2,-.34,14.2,.204, ,212.5,.999,2.96,1.93,12.2,1,8,4
4274,1,12.3,-1.07,-.84,8.5,.026,-132,136,.9935,2.93,.67,15.9,-1,7, 
4275,0,2.9,1.76,.01,1.6,.049,14,132,1.02667,1.68,.49,4.9,0,7,1
4278,3,5.6,1.55,.32,-12.9,.79,19,486,.99068,3.69,.51,5,-1,6,3
4280,2,6.8,1.03,.29,29.55,.056,48,409,.98365,3.45,.4,13.5,-1,7, 
4281,5,6.7,.23,.33,17.1,.048,203,176,.9479,3.11,.52, ,1,7, 
4282,3,7.9,-.71,1.39,-40.5,.302,-6,157,.9953,3.77,.48,15.3,-1,9,2
4283,4,21.3,-1.96,1.01,-7.8,.369,69,-123,1.03665,3.72,.75,13,0,7,2
4284,2,6.4,.24,.04,65.6,.054,173,348,1.0072,3.18,.5,3.4,-1,7,1
4285,0,6.3,-.77,.29,130.2,.042, ,189,.99304,3.19,.47,10.3,1,7, 
4286,3,5.9,-.85,.3,23.9,.408,57, ,.9972,3.28,.39,11.2,0,6,1
4287,4,-2.6,.19,.32,3.7,.041,-35,-386,.96895,2.9, ,3.7,-1,7,1
4288,5,-4,.24,1,63.9,.033,124,-429,1.02198,3.39,.38,17.5,-1,6,1
4289,2,7.9,.24,-1.06,-30.2,.047,60,569,1.04665,3.18,.68,5.1,-1,7,2
4290,5,2.9,.29,1.59,10.6,.042,303,498,1.00924, , ,9.5,1,7,2
4291,5,7.1,1.88,-.58,-3.9,.067,320,-195,.9986,3.07,-.22,2.7,0,8,3
4292,4,6.5,.23,-.93, ,.038,43,133,.99924,4,.41,8.8,1,7,1
4293,0,8.6,-.68,.38,1.5,.561,5,-347,.99666,3.2,.52,2.9,-1,10, 
4294,0,20.5,-.61,.74,33.15,-.365,-64,-121,1.01408,2.48,1.3,11.2,1,12, 
4295,0,-2.1,.495,.05,-7.7,-.512,25,267,1.0079,4.12,.48,17.3,2,9,1
4296,1,6.4,.83,.2,14.9,.06,37,162,.9983,4.35,-.86,7.1,-1,7, 
4297,4,11.8,.34,.11,2.2,.319,16,89,.95493,3.57, ,16.9666666666667,-1,6,3
4298,6,6.8,.18,.28,9.8,-.032,141,113,.95777,3.41,.45,10.9,1,7,3
4300,2,6.9,.3,-.71,9.2,.056,49,-142,.99827,3.11,.11,3.5,-1,7,2
4301,2,-3.3,.16,.14,1.3,.632,-226,358,.9915,3,.44,11.4,-2,8,1
4302,3,.4,-.41,1.88,-3.95,.043,36,156,.99061,2.93,.47,8.9,0,8,1
4303,5,3.5,.93,.27,15.5,.288,25,135,.96408,3.77,.43,8.7,0,8,4
4304,3,6.6,1.57,-1.18,1.6,.04,31,101,1.03972,2.36,.66,9.9,0,7, 
4305,3,-1.6,1.34,.49,54.1,-.415,-117,10,.9938,3.08, ,20.9,0,9,3
4306,5,6.9,-.92,.31,18.4,.977,21,93,.99124,2.97,.48,13.4,0,8,3
4307,5,12,-1.76,-1.37, ,.54,-190,410,.95206,2.3, ,13,1,6,3
4308,0,6.2,-.32,.3, ,.047,219, ,.95265,3.18,.49,8.7,0,7,1
4309,0,5.1,.35,-.27,2,.357,28,-138,1.01906,3.43,1.3,10,1,8, 
4310,4,6.1,.24,-2.18,7.6,.59,48,-93,.9958,4.62,2.25,12.3,-1,7,1
4311,3,9.2,.4,.34,-3.7,.043,-133,228,.9974,3.04,.41,3.7,-1,10, 
4312,6,10.1,.81,.28, ,.035,42,-40,.99048,4.44,.35,6.2,1,7,4
4314,0,7.4,.5,2.68,36,-.011,15,18,.99448,3.52,-1.02,9.5,0,7, 
4315,4,8,1.1,.28,-4.5,.051,21,-38,.9957,3.06,-.14,8.2,-1,9,2
4316,0,14.9,.09,.91,1.7,.045,-204,-116,.9666,3.65,.53,4.8,1,8, 
4317,4,8.8,-1.96,-.04,64.35, ,9,313,1.04235,2.22,1.37,11.2,-1,10,1
4318,0,9.1,1.35,1.02,51,.196,9,-77,.9978,3.65,.6,5.9,0,10, 
4319,0,.0999999999999996,.29,1.07,.8,.038,7,-374,.9924,3.36,.35,9.2,0,6, 
4320,0,14.8,.38,.57,2.3,-.186,209,-102,.9581,3.36,.28,14.7,1,8,1
4321,3,13.1,-.27,.41,7.3,-.055,24,-306,.97551,4.31,-.49,10.8,0,8,1
4323,4,7,-.5,.26,1.6, ,119,-251,.9923,3.08,.46, ,0,8, 
4325,4,-2.7,.17,.3,1.1,-.555,158,-309,.98837,3.39, ,10.3,0,7,1
4326,4,-5.8,1.36,-.37,2,.533,-75,142,.94662,2.53,1.52,13.1,-1,7,1
4327,4,15.7,2.465,.14,1.3,.036,-22,145,.99212,2.18,.64,10.5,1,5,1
4329,0,6.2,.18,.97,-58.6,.561,136,15,1.02472,3.36,.03,3.7,1,12, 
4330,7,17.7,.35,.3,5.55,.291,42,216,1.02244,3.14,.38,12.7,1,9,4
4332,4,-3,.24,.24,1.6,.026,26,189,.96447,3.98,2.52, ,-1,8, 
4333,2,15.4,.33,.85,4.5,-.215,-205, ,.99416,1.92,.41,9.2,-1,7,1
4334,2,6.6,.32,.47,35.6,-.366,27,281,.94705,2.78,.56,9,-1,7,2
4336,0,13.4,.28,.57,-63.7,.405,-1,115,.9918,3.27,.33,11.7,-1,7,1
4339,4,5.9,-.49,.32,50.9,.034,-179,262,.98952,3.16,.56,19.1,0,6,1
4340,4,19.3,.28,.3,10.7,.044,61,222,.9972,4.49,.5,5.1,0,8,2
4341,3,9.7,-2.73,.4,-41.5,.079,19,112,1.03273,2.87,-.0399999999999999,11.2,-1,9,1
4342,5,7.3,1.095,.13, ,.06,15,234,.9963,3.72,.69,9.4,1,8,2
4344,4,-.5,.23,.41,14.6,.048,73,335,.98382,3.16,.97,9.4,0,8,2
4345,0,6.3,1.38,.08,1.7,-.09,-251,20,.96409,2.1,.74,5,0,7, 
4346,4,9.7,.24,.78,10.4,.469,11,59,.9926,2.74,.99,10.8,0,10,2
4348,5,13.5,-.27,.35, ,1.104,-347,254,.94727,3.18,.4,16.1,0,7,2
4349,3,10,.2,.46,1.4,-.264,19,-148,.994,3,-.77,10.4,-1,11,2
4350,0,8.3,.34,-.51,53.1,.221,136,207,1.02275,3.36, ,11.1,-1,7,1
4351,5,7,.28,1.03,-43.1,-.293,47,-185,.98836,3.56,1.4,13,0,7,2
4352,0,1.7,-.92,.64,2.4,.107,-184,-202,1.04837,3.09,.66,11.8,0,12,1
4353,5,6.2,2.84,.36,40,-.076,37,130,.97967,3.23,.87,8.8,1,7,3
4354,0,7,.685,3.26,-24.3,.067,-3,410,.9979,3.92,.81,16,1,8, 
4356,6,6.7,-.34,2.17, , , , ,.96917,3.65,.73,10.7,0,7,2
4358,2,5.15,.53,-1.09,6.2,.021,20,80,.99076,3.39,.47,16.8,-1,7,2
4360,0,6.7,.34,.08,51,-.168,51,196,.9982,3.19,-1.15,3.3,0,7, 
4361,4,-1.8,.19,.31,14.5,.045,3,109,.9782,1.76,.5,9.2,0,8,2
4363,2,7,-.16,.07,1.1,-.266,-77,314,.991,4.18,.9,10.1,-1,8,2
4364,0,6.7,.68,2.07,3.5,-.295,39,105,1.00788,3.14,2.15,18.1,0,7, 
4365,0,6.7,1.07,.64,48.2,.361,-143,-188,.9982,2.44,-.76,9.8,0,10, 
4366,5,5.8,.385,-.9,3.7,.031,113,122,.96358,3.2,1.29,11.2,1,6,3
4367,3,-13.9,-.97,-.65,-17.8,-.043,23,-159,1.02838,3.17,.66,14.1,0,8,1
4369,0,12.3,.27,.49,51.7,-.514,28,-275,.99192,3.2, ,10.2,0,13,1
4370,0,13.1,.26,.42,-31,.08,11,-229,.96711,3.97,2.2,9.4,-1,9, 
4371,1,16.6,.3,-1.29,-10.7,-.253,24,186,.99361,3.29,.54,6.8,-1,8, 
4372,3,-1.3,-.31,.37,23.3,.031,13,-278,1.01619,3.71,.46,17.1,0,7,1
4373,4,6.9,.23,.48,-25.7,.036,-200, ,.99315,3.21,.1,10.8,-1,7,1
4376,3,5.9,.32,.53,-60.5,.057,17,309,1.01067,3.33, ,17.6,0,6,3
4377,4,6.8,-.19,-.57,12.8,.062,135,171,.99808,3,3.92,5.6,-1,7,1
4379,5,-5.8,-.31,.22,-32.8,-.238,-59, ,.9938,2.88,.78,2.9,1,6,2
4380,5,4.5,.5,.33,-9.9,-.166,285,421,.99478,3.36,.47,9.3,1,6,2
4382,4,-12.8,.42,1.77,9.6,.057,50,219,.9978,3.39,-1.07,13.4,0,7,2
4383,4,6.9,.13,.57,-8.8,-.424,60,150,1.02408,2.91,-1.31,9.4,0,7,2
4384,3,6.8,.04,.39,-52.1,.036,15,115,.96981,3.27,2.13,8.7,0,7,1
4385,4,-15.5,.38,-.49,-41.5,.324,25,137,.9938,3.11,.69,10.4,0,7,2
4386,0,9.1,.74,.0600000000000001,1.7,.414, ,312,1.01976,1.37, ,9.1,-1,11, 
4388,5,6.2,-.99,-.96,49.3,-.49,94,-224,.99364,3.18,-.05,11.9,1,7,3
4389,3,6.7,-.87,-1.19,3.6,.594,9,-263,.96624,3.08, ,10.5,-1,7,2
4390,6,11.7,.2,-.65,80.7, ,69,-175,1.03928,3.1,.48,5.4,2,8,3
4391,4,5.3,1.66,1.24,1.2,.048,25,119,1.02043,3.32,.62,11.3,0,6,2
4392,6,-5.6,.2,-.71,62.4,.033, ,689,1.00716,4.03,.56,9.9,1,6,3
4393,4,15.3,1.5,1.33,-16.1,-.544,30,356,.95706,3.24,-.46,9,1,7,1
4394,5,7.7,.98,-1.22,11.2,.432,-247,471,1.00109,3.12,.43,11.3,0,8,2
4395,2,6.7,.64,.3,1.2,-.491,-46,-150,.9892,3.01,.6,12.9,0,8,2
4396,0,13.7,.46,.11,3,.079,12,49,.98101,3.21,1.41, ,1,8, 
4397,3,6.1,-.59,.04,-33.8,.036,23,-53,.98891,3.82,.29,13.6,-1,7,2
4398,6,6.2,1.53,.35,13.9,.057,45,140,.96253,2.94,.41,6.2,0,8,3
4399,0,7.6,-.69,.37,-8.5,.981,141,57,.99256,3.64,.54,10.4,0,8, 
4401,2,6.8,1.28,-.41,-14.3,.046,6,88,1.01651,3.34,-1.05,16.6,0,7,2
4402,5,6.1,.18,-1.13,-33.4,.036,40,115,.91113,3.27,.55,9.5,0,7,2
4403,6,8,-.76,.35,82.1,-.133,53,526,.94912,2.53,.56,15.3,1,9,2
4404,7,2,.81,.49,-53.7,.725,-392,-13,.97846,3.63, ,8.8,2,9,2
4405,3,0,1.51,1.49,-110.2,.073,-271,11,.99425,3.75,.54,18.3,0,7,1
4406,3,17.4,.29,.5,14.95, , ,555,.99838,3.51,-.16,12.8,1,8,3
4407,3,7.5,.22,.58,58.2,.05,98,336,.99085,4.09, ,8.9,0,8,2
4408,3,-5.7,.22,1.17,16.55,.059,113,-197,.99665,3.2,.38,10.5,0,7, 
4409,4,17.9,-.29,.49,2.5,.047,20,130,.99178,3.15,.48,11.1,1,8,2
4410,2,5.9,.38,.41,-17.3,.047,227,454,.9917,3.33,-.35,5.3,-2,7,2
4411,5,3.6,.15,.71,-25.6,.573,67,-600,.94448,3.14,.32,3.6,0,7,2
4412,8,.199999999999999,.26,-1.07,2.2,.635,31,113,1.01963,2.93,1.2,8.6,1,8,4
4413,6,6.3,.1,.28,2.4,-.271,13,102,.98998,3.14,.37,11.6,1,7,3
4414,4,7.2,.38,-.57,-38.4,.489,434,186,.9956,2.34,.37,14,0,8,2
4415,3,8.5,.64,.08,-13.7,.043,26,-125,.9972,4.66,2.15,8.9,1,8,2
4416,0,6.3,1.58,.32,61.9,.04,-153,-150,.99182,3.24,.43,18.1,1,7,1
4417,0,6.6,.37,.07,1.4,.048,-10,144,.97769,2.65,-.71,14.3,0,7,1
4418,0,6,-.02,.27,51.5,.185,-43,86,1.02689, ,.62,10.5,1,7,1
4419,3,-4.9,.43,-.04,-35,.46,43,132,.98975,3.21,.47,13.4,-1,8, 
4420,2,7.5,1.59,.33,-22.3,.409,-5,-100,1.01721,2.89,.48,7.8,-1,9,1
4421,2,10.1,.38,-1,-20.8,.119,7,-46,1.01513,3.73,.41,12.6,-2,8,1
4422,6,-8.5,.76,.91,10.6,-.285,298,111,1.00715,3.46,.28, ,1,5,3
4425,4,6.6,.24,.38,12.75,.034,8,412,.99386,2.26,1.75,8.2,0,7,2
4426,5,5.9,-.93,1.54,1.1,-.092,74,184,.99096,3.22, ,11,1,7,3
4427,6,5.3,.33,-.97, , ,25,-67,.99045,4.5,-.22,11.3,2,6,3
4429,0,5.8,1.74,.27,12.3, ,-129,170,1.03946,2.89,.42,9.3,-2,6,1
4430,4,6.1,.34,-1.25,8.2,.043,-436,549,.99453,3.13,.66,9.7,0,7, 
4431,0,12.6,1.14,.09,1.7,.593,103,32,.99402,3.54,.99,11.3,0,7, 
4432,0,7.4,1.26,1.26,-121.5,.305,12, ,.99147,3.5,1.92,14,0,8, 
4434,3,6.8,.64,.2,70.6,.052,-111,235,.9935,3.09,.54,10.8,0,7,1
4435,4,8.4,.17,.31,5.4,.346,313,150,1.03379,3.9,.38,9.8,1,9,2
4438,3,-2.9,.26,.56,15.4,.623,32,-52,.98361, ,.49,11.7,0,7,3
4440,5,24.7,.785,0,3.4,.036,23,134,.98981,4.29,.92,16.8,1,5,2
4441,2,4.9,-.93,.31,5.3,.043,93,4,.95441,3.35,-.2,10.5,-1,7,1
4442,3,2.9,.33,.39,12.4,.065,29,444,.9974,4.24,.39,11.8,0,8,2
4443,0,-2.9,.48,1.67,56.2,-.09,31,501,.95353,3.3,.65, ,-1,8, 
4444,3,6.6,.19,.43,10.9,.359,44,154,1.00382,2.42,.77,7,-1,7,1
4445,3,7.5,.28,.67,-7.7,.041,53,161,.98967,2.29,.17,8.7,0,9,2
4446,6,6.8,.27,.42,7.3,.054, ,465,.99556,4.18,-.54,9.4,2,7,1
4447,3,6.4,.45,1.16,57.9,.421,214,131,.9905,2.97,.28,10.8,0,7,2
4448,4,7.8,.89,.33,18.1,.207,-316,466,.99692,3.07,.58,9.6,0,8,2
4450,0,7.8,.9,.29,46.05, , ,473,.9998,3.16,.56,6,0,8,1
4451,5,7.7,-.25,.06,2,.373,-84,41,.99697, ,1.17,8.6,1,8,1
4452,0,7.8,-1.56,.68,8.1,.415, ,128,.99656,2.76,1.06,9.1,0,9, 
